,움직임_1,움직임_0
0,4.406,6.118
1,4.346,5.996
2,4.202,5.321
3,4.287,4.705
4,4.194,5.445
5,4.395,5.003
6,4.26,4.641
7,4.417,6.522
8,4.337,6.624
9,4.362,6.067
10,4.046,6.857
11,3.987,4.78
12,3.913,4.837
13,3.9,4.358
14,3.902,4.583
15,4.225,5.668
16,3.982,5.624
17,3.914,6.904
18,3.887,5.34
19,3.932,4.818
20,3.948,4.63
21,4.031,4.64
22,4.019,4.757
23,3.968,5.119
24,3.947,5.314
25,3.914,7.342
26,3.821,6.526
27,3.714,7.889
28,3.855,5.44
29,3.906,8.776
30,3.948,2.193
31,3.989,5.333
32,3.958,5.507
33,4.023,5.302
34,3.907,4.836
35,3.864,6.592
36,3.914,5.734
37,3.921,4.715
38,3.877,4.768
39,3.867,5.114
40,3.87,4.921
41,6.332,4.89
42,4.422,5.099
43,4.356,5.122
44,4.209,5.412
45,4.312,7.265
46,4.109,5.205
47,4.156,9.257
48,4.225,5.914
49,5.75,6.791
50,5.384,5.399
51,5.408,4.921
52,4.498,6.404
53,3.938,5.575
54,4.17,4.588
55,4.123,4.234
56,4.303,5.775
57,4.07,5.179
58,4.169,7.206
59,4.335,5.411
60,4.111,5.905
61,4.398,5.074
62,4.176,5.169
63,4.213,4.714
64,4.131,4.543
65,4.761,4.275
66,4.327,4.394
67,4.331,4.407
68,4.284,4.324
69,4.236,4.495
70,4.436,4.837
71,4.415,9.709
72,4.309,5.33
73,4.322,4.792
74,4.295,4.678
75,4.371,4.941
76,4.361,4.315
77,4.319,4.546
78,4.274,7.65
79,4.277,4.749
80,4.306,5.507
81,4.408,4.501
82,4.978,5.414
83,4.239,5.354
84,3.966,4.574
85,3.748,4.902
86,3.827,4.313
87,3.668,5.004
88,3.811,4.553
89,3.623,5.43
90,3.66,5.314
91,3.718,4.007
92,3.829,6.044
93,3.747,5.4
94,3.736,4.569
95,3.817,4.765
96,3.678,4.352
97,3.757,4.381
98,3.959,5.76
99,3.699,5.774
100,3.73,5.135
101,3.767,4.887
102,3.82,4.759
103,3.891,6.792
104,3.87,6.16
105,3.861,4.812
106,3.988,5.289
107,3.812,5.164
108,4.15,5.12
109,4.011,5.148
110,4.034,6.918
111,3.972,7.142
112,3.823,3.073
113,3.93,5.611
114,3.943,5.864
115,3.964,6.32
116,3.838,8.579
117,3.881,6.216
118,3.771,5.612
119,3.894,6.588
120,3.84,6.897
121,3.853,5.166
122,5.79,7.037
123,4.655,8.243
124,4.589,6.41
125,4.898,6.911
126,4.457,8.487
127,4.543,5.72
128,4.669,5.122
129,4.473,4.81
130,4.43,4.664
131,4.193,4.845
132,4.258,5.123
133,4.128,4.864
134,4.128,4.869
135,4.079,5.333
136,4.291,5.09
137,4.185,7.507
138,4.462,6.472
139,4.215,7.36
140,4.96,6.436
141,4.478,4.678
142,5.038,6.251
143,4.405,4.305
144,4.434,8.726
145,4.698,6.675
146,4.231,8.333
147,4.473,8.815
148,4.409,6.287
149,3.922,6.667
150,5.203,7.291
151,4.469,7.43
152,4.312,5.095
153,4.249,4.078
154,4.335,4.324
155,4.325,5.084
156,4.443,5.074
157,4.182,4.5
158,4.165,3.905
159,4.333,6.082
160,4.301,6.476
161,4.475,6.521
162,4.359,6.137
163,6.119,5.584
164,5.737,6.927
165,4.007,6.152
166,4.467,3.405
167,3.625,5.157
168,3.753,4.266
169,3.659,6.059
170,3.67,6.889
171,3.493,5.018
172,3.651,4.88
173,3.647,5.149
174,3.675,6.045
175,3.504,6.995
176,4.869,4.543
177,7.55,4.404
178,4.936,4.367
179,4.53,4.192
180,4.98,6.2
181,4.139,4.818
182,4.334,5.75
183,4.3,5.237
184,4.061,4.229
185,4.531,3.726
186,3.88,3.788
187,4.736,4.005
188,4.471,3.92
189,3.854,4.103
190,4.372,4.073
191,4.235,3.959
192,4.35,3.756
193,7.19,3.889
194,4.534,3.925
195,3.973,3.908
196,4.137,3.859
197,3.799,3.905
198,3.871,3.878
199,4.286,3.705
200,4.651,3.875
201,4.266,7.115
202,4.344,4.055
203,5.197,4.686
204,4.596,4.011
205,2.461,3.966
206,4.764,4.913
207,4.556,5.2
208,4.357,4.699
209,4.378,4.896
210,4.607,4.871
211,4.43,4.715
212,5.019,4.378
213,5.804,3.885
214,4.617,4.878
215,4.713,5.811
216,5.298,5.246
217,2.058,4.811
218,4.873,4.682
219,5.613,5.155
220,5.213,4.548
221,6.013,4.792
222,5.671,4.646
223,4.989,4.83
224,7.406,6.577
225,6.115,5.014
226,5.379,4.514
227,3.717,4.81
228,3.187,5.023
229,3.399,5.1
230,3.228,4.206
231,3.298,4.007
232,3.334,3.848
233,3.319,3.934
234,3.225,3.776
235,3.297,3.901
236,3.401,4.016
237,3.471,3.953
238,3.418,4.012
239,3.36,4.581
240,3.263,4.547
241,3.219,4.766
242,3.279,4.086
243,3.27,3.871
244,3.288,3.899
245,3.373,3.976
246,3.258,5.439
247,3.437,4.084
248,3.345,4.196
249,3.251,4.044
250,3.278,4.613
251,3.313,4.856
252,3.257,4.244
253,3.308,4.175
254,3.326,3.981
255,3.279,4.019
256,3.261,4.049
257,3.238,4.009
258,3.231,4.094
259,3.382,4.107
260,3.335,3.665
261,3.308,3.828
262,3.294,3.702
263,3.347,3.899
264,6.236,3.594
265,4.962,3.668
266,3.814,3.691
267,3.555,3.746
268,3.57,3.655
269,3.601,3.691
270,3.55,3.876
271,3.62,3.764
272,3.569,4.277
273,3.562,4.256
274,3.669,4.204
275,3.687,3.913
276,3.642,3.963
277,3.578,3.748
278,3.605,3.787
279,3.592,3.898
280,3.571,3.893
281,3.615,3.816
282,3.624,3.843
283,3.643,3.922
284,3.652,3.632
285,3.729,3.898
286,3.827,3.686
287,3.643,4.01
288,3.669,3.676
289,3.577,3.739
290,3.532,3.658
291,3.534,3.653
292,3.546,3.714
293,3.555,3.775
294,3.48,7.089
295,3.497,5.118
296,3.533,6.871
297,3.581,4.984
298,3.514,5.688
299,3.533,4.259
300,3.53,3.037
301,3.529,2.292
302,3.552,2.873
303,3.626,2.7
304,3.471,4.035
305,3.524,5.826
306,4.637,4.888
307,3.213,4.84
308,3.402,5.062
309,3.303,4.704
310,3.458,6.086
311,3.304,7.15
312,3.326,5.661
313,3.388,4.643
314,3.346,5.217
315,3.351,5.249
316,3.333,5.532
317,3.278,7.026
318,3.333,5.674
319,3.328,7.526
320,3.27,5.91
321,3.401,5.753
322,3.485,6.502
323,3.264,5.764
324,3.303,5.358
325,3.314,5.494
326,3.198,4.354
327,3.24,4.112
328,3.212,4.568
329,3.356,4.275
330,3.314,3.941
331,3.494,4.288
332,3.315,4.405
333,3.305,8.532
334,3.297,2.204
335,3.284,6.589
336,3.332,4.107
337,3.308,5.906
338,3.3,4.79
339,3.288,6.17
340,3.315,6.886
341,3.285,6.635
342,3.351,7.492
343,3.371,8.733
344,3.294,6.045
345,3.43,7.978
346,3.369,5.753
347,4.132,4.877
348,3.394,5.963
349,3.354,5.263
350,3.395,5.844
351,3.354,6.073
352,3.244,6.056
353,3.393,4.721
354,3.365,7.233
355,3.214,6.346
356,3.417,5.34
357,3.392,6.824
358,3.408,5.109
359,3.281,5.777
360,3.361,7.796
361,3.37,7.541
362,3.413,6.956
363,3.449,5.871
364,3.377,5.813
365,3.384,5.347
366,3.415,5.548
367,3.372,5.467
368,3.363,5.573
369,3.448,5.762
370,3.357,6.811
371,3.389,5.953
372,3.369,5.595
373,3.36,5.015
374,3.349,5.1
375,3.341,4.959
376,3.36,4.833
377,3.365,4.998
378,3.397,4.748
379,3.396,4.376
380,3.358,4.761
381,3.364,4.594
382,3.37,4.479
383,3.382,4.846
384,3.389,5.0
385,3.378,5.432
386,3.384,4.622
387,3.387,4.659
388,5.621,4.901
389,5.091,4.936
390,5.492,4.708
391,5.378,4.195
392,5.993,4.833
393,2.27,4.419
394,6.157,4.678
395,4.883,4.817
396,5.53,4.482
397,4.443,4.848
398,4.79,5.134
399,5.201,4.765
400,4.467,4.912
401,4.3,6.143
402,4.449,6.468
403,4.414,5.895
404,4.768,6.149
405,4.319,5.986
406,4.565,6.452
407,4.412,5.511
408,5.108,5.447
409,4.669,5.726
410,4.705,6.032
411,4.63,6.576
412,4.517,7.3
413,4.977,5.538
414,4.875,9.33
415,4.583,7.8
416,4.44,9.101
417,4.469,7.38
418,4.856,6.8
419,4.841,8.969
420,4.919,6.469
421,4.597,5.995
422,4.446,9.209
423,4.317,7.248
424,4.303,8.782
425,2.688,7.068
426,2.554,6.9
427,3.382,8.69
428,3.222,7.037
429,3.236,6.789
430,3.213,6.194
431,3.35,5.941
432,3.703,6.431
433,3.671,6.687
434,4.161,7.35
435,5.018,8.787
436,4.713,7.134
437,3.762,6.249
438,3.615,5.003
439,3.919,5.58
440,3.809,6.254
441,3.701,4.786
442,3.624,5.989
443,3.863,6.157
444,3.919,6.03
445,3.837,6.169
446,4.242,6.498
447,4.314,7.012
448,3.938,6.597
449,4.996,5.691
450,4.031,6.084
451,4.806,6.407
452,4.137,5.02
453,4.003,5.102
454,3.74,5.815
455,4.176,4.348
456,3.982,6.211
457,3.889,5.461
458,4.183,4.646
459,3.798,4.856
460,3.967,7.046
461,3.92,5.358
462,4.021,7.205
463,3.886,4.902
464,4.549,4.581
465,5.113,5.089
466,4.94,7.549
467,4.273,9.428
468,3.721,6.403
469,5.251,6.545
470,1.577,7.333
471,4.811,6.103
472,4.081,6.758
473,4.029,6.409
474,4.157,6.417
475,4.032,6.719
476,4.172,5.926
477,4.21,5.994
478,4.238,6.407
479,4.147,6.2
480,4.113,6.602
481,4.184,7.45
482,4.303,6.186
483,4.204,5.831
484,4.265,5.661
485,4.208,5.727
486,4.112,5.816
487,4.066,5.517
488,4.211,5.549
489,4.206,5.463
490,4.404,5.46
491,5.232,6.01
492,6.239,6.109
493,4.675,5.706
494,4.475,5.147
495,4.29,5.115
496,4.358,5.353
497,4.37,5.548
498,4.375,5.22
499,4.415,5.497
500,4.515,5.237
501,4.425,6.358
502,5.253,7.784
503,5.358,8.301
504,6.734,6.25
505,5.428,6.18
506,4.626,5.233
507,3.864,6.638
508,4.132,6.505
509,3.948,4.979
510,4.081,4.938
511,3.84,5.674
512,3.764,6.218
513,3.873,6.469
514,3.88,7.257
515,3.932,5.759
516,4.012,6.54
517,3.926,7.073
518,3.983,6.777
519,4.08,6.888
520,3.981,6.375
521,4.564,6.145
522,7.103,6.359
523,7.323,6.408
524,4.32,5.825
525,4.379,6.803
526,4.35,6.912
527,4.554,6.537
528,6.501,6.219
529,5.919,5.832
530,6.435,6.982
531,6.831,6.135
532,5.675,6.506
533,4.968,6.744
534,4.292,7.162
535,3.657,5.64
536,3.573,6.725
537,3.574,5.987
538,3.673,7.387
539,3.764,8.629
540,3.68,8.962
541,3.507,7.629
542,3.58,9.978
543,3.595,6.996
544,6.599,6.936
545,5.612,6.35
546,5.284,6.524
547,4.355,5.496
548,4.44,6.176
549,4.325,4.907
550,4.435,5.189
551,4.387,5.851
552,4.493,6.821
553,4.613,6.134
554,4.29,7.011
555,4.687,7.283
556,5.894,5.254
557,5.892,5.939
558,4.893,4.095
559,4.98,4.13
560,5.606,4.3
561,5.979,4.419
562,5.379,5.475
563,5.082,5.939
564,5.101,5.766
565,5.792,7.113
566,4.566,6.01
567,4.542,6.887
568,4.481,5.879
569,4.189,5.108
570,4.273,4.874
571,4.148,4.299
572,4.194,4.642
573,4.202,4.84
574,4.245,6.256
575,4.257,8.496
576,4.222,9.713
577,4.167,7.421
578,4.241,7.058
579,4.209,6.612
580,4.203,6.342
581,4.121,5.428
582,4.093,7.202
583,4.355,6.117
584,5.666,6.14
585,4.81,7.117
586,4.246,5.718
587,4.057,4.982
588,3.931,5.079
589,3.798,4.577
590,3.718,4.135
591,3.854,4.298
592,3.802,4.04
593,3.717,4.316
594,3.761,4.341
595,3.904,5.37
596,3.973,9.843
597,3.666,6.744
598,3.682,7.806
599,3.758,7.938
600,3.736,6.791
601,3.807,7.258
602,3.768,6.767
603,3.686,8.462
604,3.732,8.469
605,3.816,7.791
606,3.821,8.348
607,3.768,7.147
608,3.768,7.512
609,3.98,7.591
610,3.957,7.74
611,3.995,6.162
612,3.913,5.722
613,4.165,6.372
614,3.974,7.311
615,3.674,8.967
616,3.928,7.024
617,3.903,6.811
618,3.854,6.337
619,3.94,4.76
620,3.929,5.684
621,3.991,4.885
622,4.02,6.082
623,4.203,5.963
624,4.147,6.897
625,3.904,5.555
626,4.175,6.577
627,4.251,6.632
628,3.372,6.522
629,5.381,5.96
630,1.826,5.258
631,2.536,6.841
632,2.521,8.38
633,5.525,6.051
634,7.311,5.67
635,6.48,5.876
636,5.626,5.827
637,5.32,6.89
638,5.811,7.533
639,5.85,9.394
640,6.932,8.311
641,5.817,8.336
642,5.308,6.118
643,6.13,5.698
644,5.462,5.947
645,6.061,6.376
646,5.857,5.638
647,5.986,5.586
648,7.548,5.839
649,6.157,7.786
650,5.333,6.303
651,5.343,5.801
652,3.488,5.214
653,4.842,6.165
654,2.528,8.401
655,7.265,7.019
656,3.602,5.557
657,6.941,7.355
658,4.847,7.161
659,4.705,5.674
660,4.863,6.634
661,4.647,3.359
662,5.709,5.98
663,5.667,7.109
664,4.823,6.886
665,5.074,7.49
666,5.72,7.13
667,5.395,7.111
668,6.532,6.086
669,4.319,7.945
670,7.137,7.249
671,5.166,6.282
672,4.932,7.171
673,5.354,6.248
674,4.859,7.46
675,4.899,6.933
676,2.867,7.567
677,5.728,6.492
678,2.471,6.62
679,2.114,6.845
680,5.649,5.235
681,6.647,9.258
682,3.336,8.727
683,4.6,6.586
684,1.598,6.267
685,1.873,6.433
686,2.804,6.924
687,4.687,6.152
688,4.009,6.491
689,2.841,9.11
690,2.224,8.029
691,7.076,7.172
692,7.373,5.682
693,6.917,6.837
694,2.565,5.22
695,6.313,5.347
696,6.011,5.73
697,2.386,5.721
698,5.757,4.531
699,4.55,5.144
700,4.635,5.333
701,4.168,5.5
702,6.512,6.27
703,3.771,5.634
704,3.025,6.756
705,2.841,6.337
706,4.86,9.041
707,5.529,6.299
708,5.847,5.558
709,4.433,6.201
710,4.121,6.023
711,4.162,5.594
712,4.199,6.47
713,4.296,5.148
714,4.187,6.077
715,4.035,4.942
716,4.11,6.01
717,4.067,6.342
718,4.094,5.238
719,4.085,6.176
720,4.291,6.138
721,4.345,6.014
722,4.439,6.048
723,5.351,4.416
724,4.961,6.495
725,4.44,6.541
726,4.44,4.575
727,4.278,5.041
728,4.269,8.847
729,4.198,5.655
730,4.336,4.872
731,4.246,4.71
732,4.031,4.468
733,4.288,4.116
734,4.324,5.911
735,4.251,5.283
736,4.297,5.68
737,4.237,5.633
738,4.436,5.911
739,4.359,5.417
740,4.297,5.543
741,4.274,6.636
742,4.262,6.955
743,5.013,8.949
744,6.137,8.395
745,5.243,7.702
746,4.708,7.091
747,4.726,7.177
748,4.843,7.024
749,4.17,6.403
750,4.148,6.769
751,3.867,5.981
752,3.717,5.542
753,3.728,7.268
754,3.859,6.617
755,3.761,5.622
756,3.987,7.294
757,4.062,8.103
758,3.916,7.049
759,4.042,7.681
760,4.121,7.592
761,4.254,6.491
762,4.365,7.458
763,4.144,7.286
764,4.02,7.708
765,3.965,8.215
766,3.883,8.735
767,3.986,6.765
768,4.035,6.475
769,3.87,7.784
770,3.891,5.722
771,3.967,7.548
772,4.105,8.709
773,3.872,10.034
774,4.031,5.346
775,4.738,5.07
776,6.033,5.237
777,4.335,4.852
778,4.019,5.003
779,3.925,7.906
780,4.054,6.745
781,3.812,6.89
782,3.796,5.98
783,3.785,5.586
784,3.709,5.801
785,3.741,6.097
786,3.793,6.162
787,3.838,7.264
788,4.035,6.508
789,4.941,8.739
790,4.238,5.838
791,4.081,5.836
792,4.238,5.642
793,4.1,5.512
794,3.74,6.641
795,3.733,6.551
796,3.701,8.568
797,3.874,8.337
798,4.05,6.245
799,4.349,6.427
800,3.98,5.789
801,3.946,6.192
802,3.992,5.568
803,3.831,5.642
804,3.562,5.79
805,3.764,5.464
806,3.598,5.736
807,3.589,5.554
808,3.544,5.438
809,3.588,5.513
810,3.561,5.783
811,3.626,6.15
812,3.676,5.817
813,3.752,5.786
814,4.538,5.827
815,4.597,5.278
816,3.923,5.836
817,4.058,5.454
818,3.91,4.964
819,3.821,5.238
820,3.751,5.414
821,3.852,5.749
822,3.783,6.774
823,3.913,6.868
824,3.734,5.971
825,3.973,6.765
826,4.015,6.322
827,3.914,5.42
828,4.036,5.142
829,4.18,5.515
830,4.041,5.306
831,5.361,5.342
832,4.921,5.137
833,6.952,5.178
834,4.64,5.393
835,3.958,5.24
836,4.085,5.311
837,4.18,5.482
838,4.238,5.424
839,4.681,6.191
840,4.242,5.275
841,4.388,4.955
842,4.248,5.289
843,4.18,4.664
844,4.234,5.002
845,4.289,5.357
846,4.381,5.054
847,4.627,5.213
848,4.578,5.372
849,4.398,4.775
850,4.311,5.04
851,4.362,4.935
852,4.455,4.728
853,4.372,5.06
854,4.401,5.098
855,4.386,5.044
856,4.398,5.313
857,4.332,5.117
858,4.281,4.823
859,4.304,5.118
860,4.298,5.085
861,4.334,5.166
862,4.733,5.259
863,4.613,5.412
864,4.89,5.59
865,4.37,5.093
866,4.315,5.45
867,4.319,5.215
868,4.499,5.249
869,4.325,5.424
870,4.454,5.585
871,6.108,5.273
872,4.343,5.513
873,4.072,5.4
874,4.214,5.183
875,5.267,5.458
876,4.971,5.404
877,4.987,5.713
878,5.498,4.695
879,6.057,4.766
880,5.872,5.566
881,4.359,6.412
882,4.937,7.539
883,4.811,7.191
884,4.447,7.374
885,4.689,7.237
886,4.895,7.204
887,5.012,8.082
888,4.753,7.118
889,4.861,8.813
890,4.662,8.02
891,4.753,6.981
892,4.638,7.139
893,4.606,7.067
894,4.955,6.713
895,5.187,7.441
896,4.84,7.19
897,4.69,6.691
898,4.64,6.393
899,4.618,6.531
900,4.635,6.732
901,4.698,7.197
902,4.675,8.839
903,4.631,9.589
904,4.658,5.448
905,4.73,5.561
906,4.721,6.166
907,4.785,7.108
908,4.698,5.267
909,4.716,6.576
910,4.856,5.833
911,4.795,5.849
912,4.931,6.055
913,4.84,5.4
914,6.714,5.288
915,4.499,5.941
916,6.0,5.651
917,5.357,5.575
918,4.631,5.542
919,6.697,5.271
920,4.486,5.409
921,6.247,5.381
922,6.075,5.282
923,5.193,5.388
924,4.975,5.235
925,4.815,5.18
926,4.725,6.158
927,4.723,5.599
928,4.576,5.459
929,4.58,6.24
930,4.769,5.093
931,4.813,5.49
932,4.879,5.087
933,4.914,5.685
934,4.922,5.615
935,4.732,5.589
936,4.791,6.845
937,5.531,5.751
938,5.034,5.63
939,5.103,5.429
940,5.096,6.22
941,5.51,6.017
942,5.234,5.558
943,4.952,5.738
944,5.088,5.553
945,4.642,5.958
946,4.961,5.594
947,4.852,5.47
948,4.859,5.61
949,4.559,5.24
950,4.668,5.986
951,4.863,6.597
952,5.006,5.196
953,5.969,4.849
954,5.411,6.998
955,6.535,4.913
956,5.609,5.256
957,5.408,5.2
958,5.688,5.731
959,6.323,6.182
960,5.012,4.411
961,5.621,5.595
962,5.18,6.348
963,6.006,5.225
964,6.073,5.236
965,6.807,5.052
966,2.947,5.15
967,1.96,5.418
968,7.376,5.239
969,5.424,5.405
970,5.705,5.248
971,5.951,5.349
972,5.896,5.327
973,5.221,5.518
974,4.977,4.831
975,4.611,5.043
976,4.592,5.076
977,4.639,4.877
978,4.707,4.81
979,4.669,5.596
980,4.645,5.391
981,5.01,5.614
982,5.438,5.801
983,5.401,6.583
984,5.423,4.837
985,5.315,5.446
986,5.592,5.071
987,6.85,6.147
988,6.747,5.567
989,6.193,4.955
990,6.113,4.97
991,5.696,7.896
992,5.702,6.728
993,6.237,5.137
994,6.817,5.025
995,6.477,5.402
996,7.321,5.413
997,4.584,5.263
998,5.084,5.795
999,1.965,6.524
1000,6.231,5.978
1001,6.15,6.994
1002,5.468,4.808
1003,4.458,5.708
1004,4.578,5.569
1005,4.37,6.436
1006,5.12,5.151
1007,6.618,4.608
1008,4.581,9.644
1009,4.351,8.527
1010,4.653,6.222
1011,5.736,5.936
1012,6.257,6.699
1013,5.18,6.467
1014,4.529,5.981
1015,4.516,5.986
1016,4.754,5.659
1017,1.982,6.946
1018,7.19,5.884
1019,6.077,5.989
1020,5.558,6.496
1021,5.302,5.749
1022,6.43,7.657
1023,7.024,7.063
1024,6.276,5.752
1025,6.633,5.792
1026,6.128,4.734
1027,5.385,5.554
1028,6.88,6.184
1029,7.267,5.552
1030,6.974,6.099
1031,6.665,5.917
1032,6.527,6.605
1033,5.709,7.018
1034,1.683,5.776
1035,5.52,5.888
1036,6.438,9.242
1037,5.633,5.917
1038,5.279,6.758
1039,5.323,6.614
1040,5.18,6.792
1041,7.366,7.09
1042,6.893,6.238
1043,5.685,6.155
1044,2.991,6.338
1045,5.744,8.1
1046,6.369,8.829
1047,5.978,7.258
1048,6.538,6.55
1049,6.101,6.955
1050,5.062,5.259
1051,5.661,6.777
1052,2.877,7.703
1053,5.269,7.821
1054,5.851,8.232
1055,6.493,6.982
1056,5.208,9.67
1057,5.489,7.879
1058,5.556,3.062
1059,6.062,2.518
1060,4.837,8.118
1061,5.803,4.657
1062,6.334,2.613
1063,5.746,3.755
1064,6.015,7.09
1065,5.268,6.843
1066,5.099,7.152
1067,5.518,8.707
1068,5.259,2.655
1069,5.445,3.631
1070,5.613,2.357
1071,2.308,7.295
1072,4.683,4.122
1073,6.176,4.373
1074,6.6,9.602
1075,4.771,9.633
1076,4.691,2.936
1077,5.405,6.991
